Source,RA_ICRS,DE_ICRS,BPmag,RPmag,Gmag,GMAG,Teff,Rad,Lum-Flame,Plx,Dist,bp_rp,spectral_class,cluster_silhouette,cluster_k7
148234821922962688,71.47985714914999,25.77825559822,16.202011,14.086169,15.118151999999998,0.956,5270.448,6.7515,31.687464,0.156,2515.9983,2.115841999999999,K,1,6
176174202659782016,64.59263199218,35.145407286070004,14.738983,13.531596,14.221829,4.0168,6048.679,1.2596,2.005759,1.3592,701.58,1.2073869999999989,F,2,0
125900437931981824,49.73650727987,34.17425762085,10.642975,9.283727,10.031755,0.3818,4965.1636,10.1525,60.147987,1.4184,668.6412,1.3592479999999991,K,1,6
3063495031437408896,125.54660584156,-6.533077797130001,9.687385,9.343074,9.569517,1.8916,7835.278,1.9753,11.799163,3.3543,314.9673,0.3443110000000011,A,0,5
467349311476355072,42.12654109458,62.95175562632,16.337164,15.39674,15.958151,1.5411,11313.785,1.4719,33.287865000000004,0.1735,3145.7974,0.940424000000002,B,0,5
168179859773644928,57.004889650790005,30.60887715024,15.427691,14.166699,14.881715,2.8812,6422.6035,1.8448,4.0796185,0.7723,1396.2626,1.260992,F,2,0
4047580065968948864,279.82987670421,-29.15113916109,13.423322,11.303943,12.332996,-1.1947,4813.0884,22.956,291.59454,0.4216,2129.135,2.1193790000000003,M,1,4
2176195680482441088,319.70475368648,54.60834551726,15.701887,14.172158,14.999606,1.8768,7470.553000000001,2.2788,11.121583,0.6299,1561.8901,1.5297289999999997,A,1,6
1830118795015194240,302.36497016285,22.84449890799,12.05364,11.521682,11.857894,1.6652,7362.1777,2.447,16.68478,1.0035,933.4235,0.5319579999999995,A,0,5
466355215523689472,45.44396894137,61.98713475354,16.887473999999997,15.516932,16.371979999999997,1.1493,10936.274,1.773,44.165394,0.3125,3146.262,1.3705419999999968,B,1,6
427831867142360320,10.07195757155,63.16532866864,14.868982,13.657017000000002,14.423499,0.249,10652.967,2.8185,,-0.08,2251.848,1.2119649999999993,B,1,6
2932748603389402240,104.86222025002,-19.3991076325,11.369564,11.020208,11.246293,1.6692,7721.76,2.2502,14.937116,1.3277,765.1329,0.3493560000000002,A,0,5
155861515610472192,76.35349720010001,29.49442786717,16.094616000000002,14.218823,15.170160999999998,1.3995,5195.692,5.7082,77.5182,0.1537,2629.8684,1.8757930000000016,K,1,6
458372761111980032,34.596861231279995,57.150900687630006,14.327354,13.579261,14.045406,0.3069,10190.609,2.8317,49.51383,0.4238,2787.868,0.748092999999999,B,0,5
197555924248903680,85.79867887944,45.90221502263,14.104157,13.028795,13.650484,4.2311,5627.7275,1.2797,1.52052,1.5601,617.5038,1.0753620000000002,G,2,0
164601224302952192,65.03129204854,28.60817438953,14.743685,13.405167,14.148784,4.5982,5878.0396,0.9999,1.0903653999999998,1.9132,497.86800000000005,1.3385179999999988,G,2,0
457641620236099712,36.51698703879,56.90938139728001,14.119573,13.543257999999998,13.903609,-0.5198,10251.671,4.1266,70.479385,0.3248,4425.37,0.5763150000000028,B,0,1
164989042668692864,66.69704883244,29.2234154628,13.173761,12.014398,12.67847,4.1313,5927.089,1.2166,1.665195,2.7901,353.1515,1.1593630000000008,F,2,0
413746985753579136,17.68133159281,58.53589226379,14.341078,11.729119,12.896241,-0.5178,3801.5552,39.1534,433.54922,0.2328,2841.3865,2.611958999999999,M,4,4
451188414687647872,40.36705644608,51.57381534603,14.20258,13.799562,14.055383,0.1017,11028.834,2.9066,139.60432,0.1913,4043.806,0.4030179999999994,B,0,5
58680596272733184,47.82788459545,18.008107301160003,14.086844,13.08994,13.670982999999998,4.9873,5620.1636,0.9113,0.7679003000000001,1.9992,476.3912,0.9969039999999988,G,2,0
180206627196252544,79.141766627,30.80587624351,14.050345000000002,13.006085,13.612429,4.4602,5745.670999999999,1.106,1.4630569,1.6312,541.8625,1.0442600000000013,G,2,0
113492625307052800,43.01399887163,24.64532043731,14.881754999999998,13.94988,14.501824,4.9795,5803.36,0.8624,1.0285716,1.2016,692.2081,0.931874999999998,G,2,0
2194233924640832000,311.4549934025,60.94613450698001,12.20507,11.596985,11.975096,2.3656,7719.7803,1.6273,8.756993,1.5353,632.6909,0.6080849999999991,A,2,5
2024576703550073088,293.46262932317,26.14931908345,13.921524,10.422638,11.763124,-5.055,3639.0393,347.932,2513.8994,0.2415,8931.265,3.4988860000000006,M,4,2
62564243142153856,50.16996018058,22.56150642802,15.248492,14.001231,14.702635999999998,5.272,5486.651999999999,0.8406,0.63248414,1.6658,555.3825,1.247261,K,2,0
511790025282119424,28.39018328028,62.93496248395,14.270209,13.372518,13.914407,-0.763,11532.868,4.0617,347.54092,0.2181,3595.2148,0.897691,B,0,1
2072535442215449216,299.17560887877005,38.3070719406,12.273583,11.82398,12.109002,0.9777,8213.728000000001,2.7476,40.718292,0.6505,1311.4993,0.4496029999999997,A,0,5
1993166095832054912,353.961782122,52.61511401115,8.767507,8.701126,8.755936,0.237,11812.931,2.4423,113.19356,2.3003,425.3398,0.0663809999999998,B,0,5
42347797720548992,53.30142990298,15.39155991908,12.952414,11.279789,12.153408,0.1617,4477.0054,14.8219,85.95535,0.5182,1819.462,1.672625,K,1,6
256427075336856192,73.79153337623,49.08877130275,15.148449,14.455116,14.886776,-0.3408,12158.978,3.2402,218.02762,0.2189,5471.156,0.6933329999999991,B,0,1
487815311673713152,50.74507430330999,62.99435878126,16.02767,14.824356,15.51758,1.0829,13394.321000000002,1.5621,75.48346,0.1169,2397.217,1.2033140000000009,B,1,6
100384209025137536,33.54049006031,21.87517562356,12.784649,12.063976,12.507746,3.2502,6539.0986,1.496,3.666942,1.5893,620.5807,0.7206729999999997,F,2,0
160415658412848896,73.26754704725,32.36035092715,15.511019,13.804494,14.696451,2.0109,5394.308000000001,3.9583,8.403202,0.6527,1718.3759,1.7065249999999992,K,1,6
5965223353800415616,257.96000011463,-43.23303633755,15.296754,12.987995,14.078542,-3.0396,15008.977,9.2768,,0.2676,3183.0388,2.308759,O,4,4
160170742197868800,72.67410667117,31.01068270313,15.895218,13.877712,14.876413,0.9051,5543.633000000001,6.1888,50.417313,0.2927,2338.6099,2.017505999999999,K,1,6
184561861473844992,81.8315721132,37.85343124265,16.412146,14.207539,15.271358,-0.9595,6802.1377,9.848,150.11128,0.242,4083.3088,2.2046069999999998,K,1,4
2171535778405959680,324.08869690536,51.30561897846,11.815697,11.303465,11.628059,0.4733,9094.366,2.9895,52.132973,0.8803,1122.3522,0.5122320000000009,A,0,5
4659332225265773568,84.73435510915999,-68.03309460168,15.842048000000002,15.655144,15.851326,-1.8355,19995.309,3.9506,,-0.2428,21584.676,0.1869040000000019,O,0,1
5283706636273810304,97.98197863399,-65.78744680591998,17.064235999999998,16.70802,16.951353,0.0243,18164.002,1.9517,411.25458,0.3373,13901.697,0.3562159999999963,O,0,5
69056928022875136,50.85825110891,24.721589607010003,14.240017000000002,13.332989,13.874935,4.4778,5553.6787,1.1997,1.2288768,1.3815,703.3841,0.9070280000000022,G,2,0
115525106913063936,46.44677334205999,26.97723426923,13.130341,11.752185,12.507066,-0.2779,4718.9023,15.8577,54.70997,0.4489,2994.9094,1.3781559999999988,K,1,6
2028720316204460800,297.24663708398,29.03330651768,15.519533,11.872758,13.242744,-1.528,3622.3804,78.7632,866.97015,0.2231,3233.9990000000003,3.646775,M,4,2
2248408924123323392,299.74857310296,67.47206381836,7.647943,7.336736999999999,7.543667,1.6436,7540.7695,2.3523,16.205907999999997,6.615,151.0389,0.3112060000000003,A,0,5
